Name	Set	ImageFile	Card Type	Color	Level	Play Cost	Evolution Cost	DP	Digimon Type	Attribute	Stage	Main Effect	Source Effect	Shield Effect	script
Pyocomon 	BT01	BT1-001 	Digitama	Red 	2				Bulb		Baby		[When Attacking] When attacking an opponent Digimon, this Digimon gets +1000 DP for the rest of this turn.		
Babydmon 	BT01	BT1-002 	Digitama	Red 	2				Baby Dragon		Baby		[Your Turn] As long as this Digimon has Pierce, this Digimon gets +2000 DP.		
Upamon 	BT01	BT1-003 	Digitama	Blue 	2				Amphibian		Baby		[When Attacking] (Once per Turn) If there is an opponent Digimon that has no Evolution Bases, (Draw 1) (Draw 1 card from your deck).		
Wanyamon 	BT01	BT1-004 	Digitama	Blue 	2				Lesser		Baby		[Your Turn] As long as 2 or more opponent Digimon have no Evolution Bases, this Digimon gets +2000 DP. 		
Kyaromon 	BT01	BT1-005 	Digitama	Yellow 	2				Lesser		Baby		[Your Turn] As long as you have 6 cards or more remaining in your Security, this Digimon gets +2000 DP. 		
Cupimon 	BT01	BT1-006 	Digitama	Yellow 	2				Small Angel		Baby		[When Attacking] If you have 5 cards or more remaining in your Security, (Draw 1) (Draw 1 card from your deck). 		
Tanemon 	BT01	BT1-007 	Digitama	Green 	2				Bulb		Baby		[When Attacking] If you had evolved your Digimon 1 or more times during this turn, this Digimon gets +1000 DP for the rest of this turn. 		
Frimon 	BT01	BT1-008 	Digitama	Green 	2				Lesser		Baby		[Your Turn] As long as 2 or more opponent Digimon are in the Rest position, this Digimon gets +2000 DP. 		
Monodramon 	BT01	BT1-009 	Digimon	Red 	3	2	0	3000	Small Dragon	Vaccine	Child				
Agumon 	BT01	BT1-010 	Digimon	Red 	3	3	0	2000	Reptile	Vaccine	Child	[During Entry] Reveal the top 5 cards of your deck, and add 1 Tamer Card among those cards to your hand. Return the remaining cards to the bottom of your deck in any order. 			
Agumon Hakase 	BT01	BT1-011 	Digimon	Red 	3	3	0	1000	Dinosaur	Vaccine	Child	[During Entry] Return 1 Digimon card containing [Agumon] in its name from your Trash to your hand. 			
Piyomon 	BT01	BT1-012 	Digimon	Red 	3	3	0	2000	Chick	Vaccine	Child		Your Turn When this Digimon is blocked, this Digimon gets +2000 DP. 		
Muchomon 	BT01	BT1-013 	Digimon	Red 	3	3	1	5000	Bird	Data	Child				
Cockatrimon 	BT01	BT1-014 	Digimon	Red 	4	3	2	4000	Bird	Data	Adult				
